city,event_names,event_dates,event_prices,event_followers,day,month,year,formated_date
Barcelona,Primavera Sound Barcelona 2025,5 junio 2025,"400,00 €",522,5,6,2025,2025-6-5
Zaragoza,MODELO Zaragoza Tour - ENTRADA TRIPLE,27 marzo 2025,"30,00 €",10,27,3,2025,2025-3-27
Sevilla,Interestelar Sevilla 2025,16 mayo 2025,"65,00 €",573,16,5,2025,2025-5-16
Barcelona,Primavera Sound Barcelona 2025,5 junio 2025,"400,00 €",522,5,6,2025,2025-6-5
Bilbao,Bilbao BBK Live 2025,10 julio 2025,No se especifica,657,10,7,2025,2025-7-10
Madrid,Iboga Festival Madrid 2024,15 febrero 2025,"22,50 €",1,15,2,2025,2025-2-15
Barcelona,Primavera Sound Barcelona 2025,5 junio 2025,"400,00 €",522,5,6,2025,2025-6-5
Barcelona,Sónar Barcelona 2025,12 junio 2025,"180,00 €",114,12,6,2025,2025-6-12
Bilbao,Bilbao BBK Live 2025,10 julio 2025,No se especifica,657,10,7,2025,2025-7-10
Madrid,Brava Madrid 2025,19 septiembre 2025,No se especifica,138,19,9,2025,2025-9-19
Sevilla,Golden Nights Sevilla,27 octubre 2024,"33,10 €",1,27,10,2024,2024-10-27
Bilbao,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 mayo 2025,"15,00 €",17,17,5,2025,2025-5-17
Granada,Granada Latina Festival 2025,28 junio 2025,No se especifica,81,28,6,2025,2025-6-28
Madrid,Candlelight Madrid 2024,1 enero 2024,"20,00 €",92,1,1,2024,2024-1-1
Barcelona,Candlelight Barcelona 2024,1 enero 2024,"15,00 €",40,1,1,2024,2024-1-1
Granada,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Granada)",20 diciembre 2024,"15,00 €",27,20,12,2024,2024-12-20
Alicante,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Alicante)",21 diciembre 2024,"15,00 €",18,21,12,2024,2024-12-21
Madrid,Festival de Tributos AMERICAN ROCK STARS (El Escorial - Madrid),4 enero 2025,"13,00 €",5,4,1,2025,2025-1-4
Madrid,Iboga Festival Madrid 2024,15 febrero 2025,"22,50 €",1,15,2,2025,2025-2-15
Sevilla,Interestelar Sevilla 2025,16 mayo 2025,"65,00 €",573,16,5,2025,2025-5-16
Bilbao,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 mayo 2025,"15,00 €",17,17,5,2025,2025-5-17
Madrid,Madrid Salvaje 2025,26 septiembre 2025,No se especifica,220,26,9,2025,2025-9-26
