genre,event_names,event_dates,event_prices,event_followers,day,month,year,formated_date,city
Electrónica,Holika Festival 2025,25 junio 2025,"74,95 €",2536,25,6,2025,2025-6-25,
Electrónica,Vida Festival 2025,3 julio 2025,"43,70 €",88,3,7,2025,2025-7-3,
Electrónica,Cruïlla 2025,9 julio 2025,"11,00 €",291,9,7,2025,2025-7-9,
Electrónica,Weekend Beach Festival 2025,10 julio 2025,"70,00 €",92,10,7,2025,2025-7-10,
Electrónica,Bilbao BBK Live 2025,10 julio 2025,No se especifica,657,10,7,2025,2025-7-10,Bilbao
Electrónica,Afluente Festival,11 julio 2025,"30,00 €",8,11,7,2025,2025-7-11,
Electrónica,FIB 2025,17 julio 2025,"39,99 €",339,17,7,2025,2025-7-17,
Electrónica,Low Festival 2025,25 julio 2025,No se especifica,233,25,7,2025,2025-7-25,
Electrónica,Arenal Sound 2025,30 julio 2025,No se especifica,795,30,7,2025,2025-7-30,
Electrónica,Dreambeach 2025,7 agosto 2025,No se especifica,84,7,8,2025,2025-8-7,
Electrónica,Aquasella Festival 2025,14 agosto 2025,"79,90 €",93,14,8,2025,2025-8-14,
Electrónica,Brava Madrid 2025,19 septiembre 2025,No se especifica,138,19,9,2025,2025-9-19,Madrid
Electrónica,MIRA Festival 2025,7 noviembre 2025,"83,43 €",5,7,11,2025,2025-11-7,
Flamenco,Golden Nights Sevilla,27 octubre 2024,"33,10 €",1,27,10,2024,2024-10-27,Sevilla
Flamenco,ALMA Y JALEO 21-MAR,21 marzo 2025,"15,00 €",2,21,3,2025,2025-3-21,
Flamenco,ALMA Y JALEO 22-MAR,22 marzo 2025,"25,00 €",8,22,3,2025,2025-3-22,
Flamenco,Primavera Trompetera Festival 2025,11 abril 2025,No se especifica,18,11,4,2025,2025-4-11,
Punk,Festival de Tributos AMERICAN ROCK PUNK (Lleida),13 diciembre 2024,"13,00 €",32,13,12,2024,2024-12-13,
Punk,Festival de Tributos AMERICAN ROCK PUNK (Vigo),17 enero 2025,"14,00 €",29,17,1,2025,2025-1-17,
Punk,Festival de Tributos AMERICAN ROCK PUNK (Lugo),18 enero 2025,"14,00 €",3,18,1,2025,2025-1-18,
Punk,Festival de Tributos AMERICAN ROCK PUNK (Badajoz),14 marzo 2025,"15,00 €",1,14,3,2025,2025-3-14,
Punk,REBEL FEST VIII edición,22 marzo 2025,"24,00 €",89,22,3,2025,2025-3-22,
Punk,Viña Rock 2025,1 mayo 2025,"39,99 €",371,1,5,2025,2025-5-1,
Punk,Festival de Tributos AMERICAN ROCK PUNK (Bilbao),17 mayo 2025,"15,00 €",17,17,5,2025,2025-5-17,Bilbao
Punk,Iruña Rock 2025,30 mayo 2025,"37,00 €",6,30,5,2025,2025-5-30,
Punk,Sensenom Festival 2025,7 junio 2025,"40,00 €",0,7,6,2025,2025-6-7,
Punk,Pirata Beach Festival 2025,9 julio 2025,"42,00 €",116,9,7,2025,2025-7-9,
Punk,Afluente Festival,11 julio 2025,"30,00 €",8,11,7,2025,2025-7-11,
Punk,Rabolagartija Festival 2025,15 agosto 2025,"59,00 €",39,15,8,2025,2025-8-15,
Punk,Canela Party 2025,20 agosto 2025,"80,00 €",69,20,8,2025,2025-8-20,
