genre,event_names,event_dates,event_prices,event_followers
Latina,Sentimiento Vallenato Fest,29 mar. 2025,,0
Latina,BigSound Festival 2025,27 jun. 2025,"49,00 €",298
Latina,Granada Latina Festival 2025,28 jun. 2025,,81
Latina,Granca Live Fest 2025,3 jul. 2025,"149,00 €",66
Latina,Puro Latino Festival 2025 | Puerto de Santa María,24 jul. 2025,,9
Latina,Salinas Sound Festival 2025,1 ago. 2025,"39,00 €",9
Reggae,Ghost Town Weekend 2025,28 feb. 2025,"15,00 €",25
Reggae,Viña Rock 2025,1 may. 2025,"39,99 €",371
Reggae,Sensenom Festival 2025,7 jun. 2025,"40,00 €",0
Reggae,Rototom Sunsplash 2025,15 ago. 2025,,45
Rock,Candlelight Madrid 2024,1 ene. 2024,"20,00 €",92
Rock,Candlelight Barcelona 2024,1 ene. 2024,"15,00 €",40
Rock,Festival Mil·lenni 2024,8 feb. 2024,"16,00 €",48
Rock,Summum Concert Series,6 oct. 2024,"25,00 €",6
Rock,Festival de Tributos AMERICAN ROCK PUNK (Lleida),13 dic. 2024,"13,00 €",32
Rock,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Granada)",20 dic. 2024,"15,00 €",27
Rock,"ROCK TRIO - Bon Jovi, Queen & Aerosmith (Alicante)",21 dic. 2024,"15,00 €",18
Rock,Negufest,28 dic. 2024,,5
Rock,Festival de Tributos AMERICAN ROCK STARS (El Escorial - Madrid),4 ene. 2025,"13,00 €",5
Rock,Festival de Tributos AMERICAN ROCK PUNK (Vigo),17 ene. 2025,"14,00 €",29
Rock,Festival de Tributos AMERICAN ROCK PUNK (Lugo),18 ene. 2025,"14,00 €",3
Rock,"METAL TRIO - Iron Maiden, Megadeth & Metallica (Zamora)",31 ene. 2025,"14,00 €",6
Rock,METAL DUO - Metallica Vs. Iron Maiden (Lugo),1 feb. 2025,"13,00 €",3
Rock,METAL DUO - Metallica Vs. Iron Maiden (Badajoz),14 feb. 2025,"13,00 €",3
Rock,Iboga Festival Madrid 2024,15 feb. 2025,"22,50 €",1
Rock,Festival de Tributos AMERICAN ROCK PUNK (Badajoz),14 mar. 2025,"15,00 €",1
Rock,REBEL FEST VIII edición,22 mar. 2025,"24,00 €",89
