city,event_names,event_dates,event_prices,event_followers,day,month,year,formated_date
,Festival de Tributos AMERICAN ROCK PUNK (Lugo),18 enero 2025,14.0,3,18,1,2025,2025-1-18
,Festival de Tributos AMERICAN ROCK PUNK (Badajoz),14 marzo 2025,15.0,1,14,3,2025,2025-3-14
,REBEL FEST VIII edición,22 marzo 2025,24.0,89,22,3,2025,2025-3-22
,Viña Rock 2025,1 mayo 2025,39.99,371,1,5,2025,2025-5-1
,Iruña Rock 2025,30 mayo 2025,37.0,6,30,5,2025,2025-5-30
,Sensenom Festival 2025,7 junio 2025,40.0,0,7,6,2025,2025-6-7
,Pirata Beach Festival 2025,9 julio 2025,42.0,116,9,7,2025,2025-7-9
,Rabolagartija Festival 2025,15 agosto 2025,59.0,39,15,8,2025,2025-8-15
,Canela Party 2025,20 agosto 2025,80.0,69,20,8,2025,2025-8-20
,BigSound Festival 2025,27 junio 2025,49.0,298,27,6,2025,2025-6-27
,Granca Live Fest 2025,3 julio 2025,149.0,66,3,7,2025,2025-7-3
,Salinas Sound Festival 2025,1 agosto 2025,39.0,9,1,8,2025,2025-8-1
,Ghost Town Weekend 2025,28 febrero 2025,15.0,25,28,2,2025,2025-2-28
,"METAL TRIO - Iron Maiden, Megadeth & Metallica (Zamora)",31 enero 2025,14.0,6,31,1,2025,2025-1-31
,METAL DUO - Metallica Vs. Iron Maiden (Lugo),1 febrero 2025,13.0,3,1,2,2025,2025-2-1
,METAL DUO - Metallica Vs. Iron Maiden (Badajoz),14 febrero 2025,13.0,3,14,2,2025,2025-2-14
,Fiesta fin de año universitario. MAMONEOS-IMPALA,14 diciembre 2024,5.0,652,14,12,2024,2024-12-14
,Nochevieja Universitaria: Especial DADE,20 diciembre 2024,5.5,0,20,12,2024,2024-12-20
,Nochebuena: BAD SANTA,24 diciembre 2024,6.0,2,24,12,2024,2024-12-24
,Noche Buena Gahús,25 diciembre 2024,10.0,1,25,12,2024,2024-12-25
,Nochevieja 2024 en GLAM,1 enero 2025,40.0,26,1,1,2025,2025-1-1
,SOUND VA FEST 2025,18 enero 2025,8.0,198,18,1,2025,2025-1-18
